playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,
boescbr01,2012,1,DET,AL,430,1488,188,381,77,7,47,190,21,7,105,314,9,15,0,11,25,
smoakju01,2012,1,SEA,AL,566,1960,208,439,84,0,74,234,2,1,238,492,11,8,0,12,50,
jayjo02,2013,1,SLN,NL,678,2146,300,632,108,13,28,217,43,26,166,383,14,59,38,15,55,
tollest01,2014,1,TOR,AL,163,290,30,70,13,2,6,26,4,1,20,75,0,2,5,1,5,
donaljo02,2014,1,OAK,AL,405,1493,217,400,85,5,63,228,17,3,168,313,7,18,1,11,37,
ramoswi01,2011,1,WAS,NL,326,1179,125,317,52,1,46,173,0,3,84,206,13,3,4,7,51,
heisech01,2012,1,CIN,NL,543,1326,184,328,61,10,50,147,25,8,77,331,4,25,14,10,19,
hicksbr01,2014,1,SFN,NL,126,294,43,45,11,1,11,30,1,1,40,119,3,2,3,1,6,
castrst01,2011,1,CHN,NL,740,2977,339,846,163,29,51,294,70,40,165,496,18,23,5,16,88,
woodbl01,2011,1,KCA,AL,55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
novaiv01,2012,1,NYA,AL,79,14,0,1,0,0,0,0,0,0,0,13,0,0,3,0,0,
worthda01,2010,1,DET,AL,135,261,30,60,11,0,2,19,1,3,23,58,0,1,5,2,3,
storedr01,2010,1,WAS,NL,54,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
lucrojo01,2014,1,MIL,NL,607,2129,247,607,120,13,59,294,23,9,181,327,7,14,5,17,57,
plouftr01,2014,1,MIN,AL,487,1746,223,428,100,5,62,224,8,8,149,398,3,18,5,15,38,
lecursa01,2010,1,CIN,NL,106,21,2,2,2,0,0,0,0,0,1,8,0,1,2,0,0,
salasfe01,2013,1,SLN,NL,160,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
ottavad01,2013,1,COL,NL,110,24,1,2,0,0,0,0,0,0,1,17,0,0,3,0,0,
cashnan01,2013,1,SDN,NL,150,98,10,20,2,1,1,5,2,0,3,44,0,0,14,0,0,
valenda01,2011,1,MIN,AL,421,1442,147,378,82,6,37,186,5,10,85,281,2,2,0,16,45,
strasst01,2014,1,WAS,NL,109,182,10,27,7,0,1,13,0,0,12,72,0,1,25,0,1,
stantmi03,2014,1,MIA,NL,634,2288,350,619,138,8,154,399,30,10,318,742,50,23,0,11,49,
tabatjo01,2010,1,PIT,NL,482,1554,206,427,81,15,17,122,47,29,127,247,1,19,18,6,40,
lincobr01,2010,1,PIT,NL,75,38,3,9,1,0,0,4,0,0,1,14,0,0,4,0,0,
arrieja01,2014,1,CHN,NL,99,64,3,10,2,1,0,6,0,0,4,30,0,0,11,0,1,
santaca01,2011,1,CLE,AL,650,2291,322,569,139,5,98,336,19,11,431,497,24,13,0,26,59,
navada01,2013,1,BOS,AL,395,1249,179,341,85,1,23,162,8,5,140,283,5,42,6,12,25,
ogandal01,2012,1,TEX,AL,112,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,
alvarpe01,2013,1,PIT,NL,592,2063,240,484,90,6,104,324,12,3,211,678,21,9,1,9,57,
doubrfe01,2014,2,CHN,NL,62,11,0,1,0,0,0,0,0,0,1,6,0,0,2,0,0,
nelsoch01,2012,1,COL,NL,282,834,96,221,39,8,16,100,9,5,55,203,6,3,3,6,28,
vicieda01,2014,1,CHA,AL,483,1675,200,425,73,7,66,211,2,3,95,388,3,16,0,12,57,
castrja01,2014,1,HOU,AL,400,1352,161,329,79,6,40,149,3,1,137,383,8,12,3,11,27,
schlibr01,2014,1,CHN,NL,61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
woodtr01,2013,1,CHN,NL,149,239,25,46,8,1,9,28,1,0,4,87,0,2,20,0,2,
cainlo01,2014,1,KCA,AL,358,1261,157,352,71,10,17,144,59,12,82,286,4,12,0,14,24,
kratzer01,2013,1,PHI,NL,176,488,49,107,21,0,23,66,0,0,35,111,7,3,0,6,17,
gomezje01,2013,1,PIT,NL,98,18,0,3,0,0,0,0,0,0,0,10,0,0,1,0,0,
janseke01,2014,1,LAN,NL,143,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
worleva01,2011,1,PHI,NL,83,118,5,15,3,0,0,7,0,0,2,47,0,0,14,0,1,
morrilo01,2011,1,FLO,NL,462,1631,200,410,93,16,53,200,8,4,188,323,11,16,0,9,41,
tomlijo01,2012,1,CLE,AL,48,7,1,4,0,0,0,1,0,0,0,3,0,0,0,0,0,
browndo01,2013,1,PHI,NL,430,1402,169,348,67,8,49,204,20,6,124,281,13,4,0,14,23,
abadfe01,2012,1,HOU,NL,59,8,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,
morelmi01,2011,1,TEX,AL,494,1565,199,395,77,3,65,209,6,4,144,359,17,10,6,19,37,
harrelu01,2012,1,HOU,NL,78,66,5,10,0,0,0,1,0,0,3,37,0,0,3,0,1,
kalisry01,2010,1,BOS,AL,146,380,51,93,18,5,4,34,16,5,26,92,1,1,3,2,12,
colemca01,2011,1,CHN,NL,50,48,3,7,2,1,0,2,0,0,1,18,0,0,6,0,0,
hellije01,2013,1,TBA,AL,92,6,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,
bourjpe01,2011,1,LAA,AL,473,1290,176,319,51,23,28,113,50,16,83,329,1,25,25,7,24,
salech01,2014,1,CHA,AL,56,5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,
arencjp01,2013,1,TOR,AL,443,1502,160,311,64,4,74,228,2,3,84,462,4,17,1,10,24,
cartech02,2014,1,HOU,AL,399,1345,180,299,58,3,85,216,8,2,174,518,8,9,0,13,28,
minormi01,2013,1,ATL,NL,111,198,13,24,5,0,2,10,0,0,9,89,0,0,15,0,2,
castiwe01,2014,1,CHN,NL,286,963,88,247,57,0,27,105,2,0,78,261,5,20,3,5,25,
barneda01,2012,1,CHN,NL,564,1894,224,465,89,13,19,153,20,5,114,235,10,21,16,13,48,
nunezed02,2011,1,NYA,AL,342,956,128,252,47,11,14,100,57,14,56,133,3,5,13,10,21,
valaich01,2014,1,CHN,NL,99,248,20,59,11,1,5,24,1,0,13,63,1,3,2,2,9,
dedunsa01,2014,1,MIN,AL,53,6,0,1,1,0,0,0,0,0,0,5,0,0,1,0,0,
chapmar01,2013,1,CIN,NL,68,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
dudalu01,2014,1,NYN,NL,503,1618,208,402,85,3,74,245,5,5,214,436,15,30,1,15,22,
espinda01,2012,1,WAS,NL,504,1761,212,402,93,11,55,176,46,15,134,554,14,47,9,8,23,
freemfr01,2014,1,ATL,NL,633,2293,343,656,136,8,86,358,10,8,273,545,21,28,0,22,54,
jennide01,2013,1,TBA,AL,474,1779,280,442,90,20,47,164,88,24,190,406,2,21,21,7,24,
alonsyo01,2012,1,SDN,NL,405,1267,119,343,75,1,27,152,15,1,121,215,15,6,1,14,34,
baxtemi01,2012,1,NYN,NL,198,360,46,81,22,4,4,26,10,5,48,86,4,11,0,4,4,
dysonja01,2012,1,KCA,AL,353,866,134,222,26,15,4,58,120,20,86,183,2,2,16,7,16,
reverbe01,2014,1,PHI,NL,493,1905,235,555,44,21,2,109,145,35,86,185,3,9,21,5,37,
geedi01,2013,1,NYN,NL,106,183,8,20,3,1,0,11,0,0,9,84,0,1,24,1,2,
morelbr01,2011,1,CHA,AL,217,655,71,148,25,1,13,58,12,6,40,129,1,3,10,2,15,
snydebr02,2014,1,TEX,AL,30,66,5,11,2,0,2,8,0,0,5,28,0,0,0,0,1,
preslal01,2012,1,PIT,NL,321,1023,114,265,38,16,23,79,25,16,54,203,1,5,7,3,12,
mckenmi01,2012,1,PIT,NL,250,711,74,174,41,0,25,86,0,4,71,193,4,6,6,5,18,
ciriape01,2012,1,BOS,AL,188,470,56,127,24,6,4,36,31,5,18,88,4,2,7,1,7,
kintzbr01,2011,1,MIL,NL,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
congeha01,2013,1,LAA,AL,251,688,63,154,34,2,17,71,0,3,62,164,4,8,7,3,16,
trumbma01,2013,1,LAA,AL,548,2046,255,506,95,7,109,345,20,14,144,554,18,10,0,15,55,
sogarer01,2013,1,OAK,AL,315,838,98,197,40,4,7,68,23,10,69,119,2,6,11,6,13,
drabeky01,2012,1,TOR,AL,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
descada01,2012,1,SLN,NL,529,1223,145,297,68,11,10,111,16,11,114,243,17,14,21,8,17,
hatchch02,2010,1,FLO,NL,68,8,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,
rominan01,2014,1,DET,AL,168,403,43,95,9,0,2,23,15,2,29,97,0,1,13,1,7,
varvaan01,2013,1,ATL,NL,62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
cishest01,2012,1,MIA,NL,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beltbr01,2013,1,SFN,NL,419,1321,174,354,80,11,45,168,23,7,144,352,12,13,1,8,13,
colliti01,2012,1,KCA,AL,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adcocna01,2012,1,KCA,AL,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
brittza01,2011,1,BAL,AL,28,8,3,5,1,0,1,2,0,0,0,1,0,0,0,0,0,
martimi02,2011,1,PHI,NL,188,403,42,73,9,2,5,36,4,0,27,81,3,0,8,2,7,
pinedmi01,2011,1,SEA,AL,28,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,
chatwty01,2013,1,COL,NL,80,69,5,19,2,0,0,8,0,0,3,16,0,0,11,0,0,
collmjo01,2014,1,ARI,NL,141,121,6,14,2,0,0,5,0,0,6,41,0,2,11,0,1,
sandsje01,2011,1,LAN,NL,82,242,23,58,17,0,5,31,3,3,26,66,0,2,2,1,7,
pegueca01,2011,1,SEA,AL,69,214,18,42,6,3,9,28,1,1,11,89,3,3,0,1,0,
colemlo01,2011,1,KCA,AL,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
amarial01,2014,1,SDN,NL,422,1118,111,262,45,12,15,109,24,7,70,176,7,3,18,9,16,
cobbal01,2014,1,TBA,AL,49,11,0,1,1,0,0,1,0,0,0,2,0,1,0,0,1,
gomesbr01,2012,1,TBA,AL,15,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,
forsylo01,2012,1,SDN,NL,338,986,111,232,40,6,18,83,19,4,84,215,5,15,5,8,23,
guyerbr01,2014,1,TBA,AL,115,307,46,78,16,1,6,30,6,1,17,62,0,11,8,1,4,
